fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-03-09,Marzo,2025,Línea 1,Prepago,206075,2025-03,2025
2025-03-09,Marzo,2025,Línea 1,Gratuidad,14681,2025-03,2025
2025-03-10,Marzo,2025,Línea 1,Prepago,445980,2025-03,2025
2025-03-10,Marzo,2025,Línea 1,Gratuidad,35213,2025-03,2025
2025-03-11,Marzo,2025,Línea 1,Prepago,481188,2025-03,2025
2025-03-11,Marzo,2025,Línea 1,Gratuidad,35345,2025-03,2025
2025-03-12,Marzo,2025,Línea 1,Prepago,492224,2025-03,2025
2025-03-12,Marzo,2025,Línea 1,Gratuidad,34711,2025-03,2025
2025-03-13,Marzo,2025,Línea 1,Prepago,489411,2025-03,2025
2025-03-13,Marzo,2025,Línea 1,Gratuidad,35436,2025-03,2025
2025-03-14,Marzo,2025,Línea 1,Prepago,516016,2025-03,2025
2025-03-14,Marzo,2025,Línea 1,Gratuidad,34923,2025-03,2025
2025-03-15,Marzo,2025,Línea 1,Prepago,324746,2025-03,2025
2025-03-15,Marzo,2025,Línea 1,Gratuidad,20197,2025-03,2025
2025-03-16,Marzo,2025,Línea 1,Prepago,232903,2025-03,2025
2025-03-16,Marzo,2025,Línea 1,Gratuidad,14782,2025-03,2025
2025-03-17,Marzo,2025,Línea 1,Prepago,160804,2025-03,2025
2025-03-17,Marzo,2025,Línea 1,Gratuidad,17032,2025-03,2025
2025-03-18,Marzo,2025,Línea 1,Prepago,478732,2025-03,2025
2025-03-18,Marzo,2025,Línea 1,Gratuidad,35613,2025-03,2025
2025-03-19,Marzo,2025,Línea 1,Prepago,507100,2025-03,2025
2025-03-19,Marzo,2025,Línea 1,Gratuidad,33359,2025-03,2025
2025-03-20,Marzo,2025,Línea 1,Prepago,448622,2025-03,2025
2025-03-20,Marzo,2025,Línea 1,Gratuidad,31269,2025-03,2025
2025-03-21,Marzo,2025,Línea 1,Prepago,484175,2025-03,2025
2025-03-21,Marzo,2025,Línea 1,Gratuidad,32536,2025-03,2025
2025-03-22,Marzo,2025,Línea 1,Prepago,311762,2025-03,2025
2025-03-22,Marzo,2025,Línea 1,Gratuidad,22544,2025-03,2025
2025-03-23,Marzo,2025,Línea 1,Prepago,213172,2025-03,2025
2025-03-23,Marzo,2025,Línea 1,Gratuidad,15529,2025-03,2025
2025-03-24,Marzo,2025,Línea 1,Prepago,436451,2025-03,2025
2025-03-24,Marzo,2025,Línea 1,Gratuidad,32961,2025-03,2025
2025-03-25,Marzo,2025,Línea 1,Prepago,481681,2025-03,2025
2025-03-25,Marzo,2025,Línea 1,Gratuidad,33938,2025-03,2025
2025-03-26,Marzo,2025,Línea 1,Prepago,482469,2025-03,2025
2025-03-26,Marzo,2025,Línea 1,Gratuidad,34958,2025-03,2025
2025-03-27,Marzo,2025,Línea 1,Prepago,472615,2025-03,2025
2025-03-27,Marzo,2025,Línea 1,Gratuidad,33414,2025-03,2025
2025-03-28,Marzo,2025,Línea 1,Prepago,488636,2025-03,2025
2025-03-28,Marzo,2025,Línea 1,Gratuidad,33741,2025-03,2025
2025-03-29,Marzo,2025,Línea 1,Prepago,338547,2025-03,2025
2025-03-29,Marzo,2025,Línea 1,Gratuidad,20672,2025-03,2025
2025-03-30,Marzo,2025,Línea 1,Prepago,213809,2025-03,2025
2025-03-30,Marzo,2025,Línea 1,Gratuidad,13274,2025-03,2025
2025-03-31,Marzo,2025,Línea 1,Prepago,453174,2025-03,2025
2025-03-31,Marzo,2025,Línea 1,Gratuidad,30324,2025-03,2025
2025-04-01,Abril,2025,Línea 1,Prepago,474865,2025-04,2025
2025-04-01,Abril,2025,Línea 1,Gratuidad,38697,2025-04,2025
2025-04-02,Abril,2025,Línea 1,Prepago,471097,2025-04,2025
2025-04-02,Abril,2025,Línea 1,Gratuidad,33495,2025-04,2025
2025-04-03,Abril,2025,Línea 1,Prepago,487480,2025-04,2025
2025-04-03,Abril,2025,Línea 1,Gratuidad,35206,2025-04,2025
2025-04-04,Abril,2025,Línea 1,Prepago,472477,2025-04,2025
2025-04-04,Abril,2025,Línea 1,Gratuidad,34974,2025-04,2025
2025-04-05,Abril,2025,Línea 1,Prepago,329016,2025-04,2025
2025-04-05,Abril,2025,Línea 1,Gratuidad,22018,2025-04,2025
2025-04-06,Abril,2025,Línea 1,Prepago,197722,2025-04,2025
2025-04-06,Abril,2025,Línea 1,Gratuidad,14691,2025-04,2025
2025-04-07,Abril,2025,Línea 1,Prepago,446380,2025-04,2025
2025-04-07,Abril,2025,Línea 1,Gratuidad,35817,2025-04,2025
2025-04-08,Abril,2025,Línea 1,Prepago,476253,2025-04,2025
2025-04-08,Abril,2025,Línea 1,Gratuidad,33316,2025-04,2025
2025-04-09,Abril,2025,Línea 1,Prepago,479201,2025-04,2025
2025-04-09,Abril,2025,Línea 1,Gratuidad,32995,2025-04,2025
2025-04-10,Abril,2025,Línea 1,Prepago,490061,2025-04,2025
2025-04-10,Abril,2025,Línea 1,Gratuidad,37589,2025-04,2025
2025-04-11,Abril,2025,Línea 1,Prepago,449448,2025-04,2025
2025-04-11,Abril,2025,Línea 1,Gratuidad,34168,2025-04,2025
2025-04-12,Abril,2025,Línea 1,Prepago,321569,2025-04,2025
2025-04-12,Abril,2025,Línea 1,Gratuidad,21300,2025-04,2025
2025-04-13,Abril,2025,Línea 1,Prepago,212354,2025-04,2025
2025-04-13,Abril,2025,Línea 1,Gratuidad,15848,2025-04,2025
2025-04-14,Abril,2025,Línea 1,Prepago,381536,2025-04,2025
2025-04-14,Abril,2025,Línea 1,Gratuidad,31620,2025-04,2025
2025-04-15,Abril,2025,Línea 1,Prepago,424137,2025-04,2025
2025-04-15,Abril,2025,Línea 1,Gratuidad,31603,2025-04,2025
2025-04-16,Abril,2025,Línea 1,Prepago,443615,2025-04,2025
2025-04-16,Abril,2025,Línea 1,Gratuidad,33015,2025-04,2025
2025-04-17,Abril,2025,Línea 1,Prepago,232636,2025-04,2025
2025-04-17,Abril,2025,Línea 1,Gratuidad,19650,2025-04,2025
2025-04-18,Abril,2025,Línea 1,Prepago,181147,2025-04,2025
2025-04-18,Abril,2025,Línea 1,Gratuidad,14585,2025-04,2025
2025-04-19,Abril,2025,Línea 1,Prepago,236468,2025-04,2025
2025-04-19,Abril,2025,Línea 1,Gratuidad,17434,2025-04,2025
2025-04-20,Abril,2025,Línea 1,Prepago,181824,2025-04,2025
2025-04-20,Abril,2025,Línea 1,Gratuidad,14426,2025-04,2025
2025-04-21,Abril,2025,Línea 1,Prepago,398201,2025-04,2025
2025-04-21,Abril,2025,Línea 1,Gratuidad,31407,2025-04,2025
2025-04-22,Abril,2025,Línea 1,Prepago,494377,2025-04,2025
2025-04-22,Abril,2025,Línea 1,Gratuidad,34987,2025-04,2025
2025-04-23,Abril,2025,Línea 1,Prepago,389525,2025-04,2025
2025-04-23,Abril,2025,Línea 1,Gratuidad,32383,2025-04,2025
2025-04-24,Abril,2025,Línea 1,Prepago,454267,2025-04,2025
2025-04-24,Abril,2025,Línea 1,Gratuidad,33131,2025-04,2025
2025-04-25,Abril,2025,Línea 1,Prepago,419085,2025-04,2025
2025-04-25,Abril,2025,Línea 1,Gratuidad,37191,2025-04,2025
2025-04-26,Abril,2025,Línea 1,Prepago,311851,2025-04,2025
2025-04-26,Abril,2025,Línea 1,Gratuidad,23004,2025-04,2025
2025-04-27,Abril,2025,Línea 1,Prepago,233785,2025-04,2025
2025-04-27,Abril,2025,Línea 1,Gratuidad,16355,2025-04,2025
2025-04-28,Abril,2025,Línea 1,Prepago,392499,2025-04,2025
2025-04-28,Abril,2025,Línea 1,Gratuidad,34814,2025-04,2025
2025-04-29,Abril,2025,Línea 1,Prepago,426780,2025-04,2025
2025-04-29,Abril,2025,Línea 1,Gratuidad,31382,2025-04,2025
2025-04-30,Abril,2025,Línea 1,Prepago,498775,2025-04,2025
2025-04-30,Abril,2025,Línea 1,Gratuidad,25793,2025-04,2025
