fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2025-02-01,Febrero,2025,Línea 2,Prepago,142742,2025-02,2025
2025-02-01,Febrero,2025,Línea 2,Gratuidad,11801,2025-02,2025
2025-02-02,Febrero,2025,Línea 2,Prepago,86987,2025-02,2025
2025-02-02,Febrero,2025,Línea 2,Gratuidad,7263,2025-02,2025
2025-02-03,Febrero,2025,Línea 2,Prepago,97351,2025-02,2025
2025-02-03,Febrero,2025,Línea 2,Gratuidad,9022,2025-02,2025
2025-02-04,Febrero,2025,Línea 2,Prepago,203097,2025-02,2025
2025-02-04,Febrero,2025,Línea 2,Gratuidad,18627,2025-02,2025
2025-02-05,Febrero,2025,Línea 2,Prepago,210039,2025-02,2025
2025-02-05,Febrero,2025,Línea 2,Gratuidad,15216,2025-02,2025
2025-02-06,Febrero,2025,Línea 2,Prepago,201120,2025-02,2025
2025-02-06,Febrero,2025,Línea 2,Gratuidad,15668,2025-02,2025
2025-02-07,Febrero,2025,Línea 2,Prepago,204436,2025-02,2025
2025-02-07,Febrero,2025,Línea 2,Gratuidad,17611,2025-02,2025
2025-02-08,Febrero,2025,Línea 2,Prepago,142702,2025-02,2025
2025-02-08,Febrero,2025,Línea 2,Gratuidad,11696,2025-02,2025
2025-02-09,Febrero,2025,Línea 2,Prepago,89456,2025-02,2025
2025-02-09,Febrero,2025,Línea 2,Gratuidad,7811,2025-02,2025
2025-02-10,Febrero,2025,Línea 2,Prepago,203741,2025-02,2025
2025-02-10,Febrero,2025,Línea 2,Gratuidad,15022,2025-02,2025
2025-02-11,Febrero,2025,Línea 2,Prepago,221642,2025-02,2025
2025-02-11,Febrero,2025,Línea 2,Gratuidad,16790,2025-02,2025
2025-02-12,Febrero,2025,Línea 2,Prepago,225718,2025-02,2025
2025-02-12,Febrero,2025,Línea 2,Gratuidad,15915,2025-02,2025
2025-02-13,Febrero,2025,Línea 2,Prepago,225987,2025-02,2025
2025-02-13,Febrero,2025,Línea 2,Gratuidad,17670,2025-02,2025
2025-02-14,Febrero,2025,Línea 2,Prepago,226580,2025-02,2025
2025-02-14,Febrero,2025,Línea 2,Gratuidad,15110,2025-02,2025
2025-02-15,Febrero,2025,Línea 2,Prepago,142461,2025-02,2025
2025-02-15,Febrero,2025,Línea 2,Gratuidad,11759,2025-02,2025
2025-02-16,Febrero,2025,Línea 2,Prepago,90413,2025-02,2025
2025-02-16,Febrero,2025,Línea 2,Gratuidad,8926,2025-02,2025
2025-02-17,Febrero,2025,Línea 2,Prepago,223665,2025-02,2025
2025-02-17,Febrero,2025,Línea 2,Gratuidad,15644,2025-02,2025
2025-02-18,Febrero,2025,Línea 2,Prepago,220769,2025-02,2025
2025-02-18,Febrero,2025,Línea 2,Gratuidad,16358,2025-02,2025
2025-02-19,Febrero,2025,Línea 2,Prepago,217968,2025-02,2025
2025-02-19,Febrero,2025,Línea 2,Gratuidad,16453,2025-02,2025
2025-02-20,Febrero,2025,Línea 2,Prepago,231505,2025-02,2025
2025-02-20,Febrero,2025,Línea 2,Gratuidad,15699,2025-02,2025
2025-02-21,Febrero,2025,Línea 2,Prepago,218843,2025-02,2025
2025-02-21,Febrero,2025,Línea 2,Gratuidad,18073,2025-02,2025
2025-02-22,Febrero,2025,Línea 2,Prepago,154355,2025-02,2025
2025-02-22,Febrero,2025,Línea 2,Gratuidad,11370,2025-02,2025
2025-02-23,Febrero,2025,Línea 2,Prepago,95457,2025-02,2025
2025-02-23,Febrero,2025,Línea 2,Gratuidad,8110,2025-02,2025
2025-02-24,Febrero,2025,Línea 2,Prepago,221447,2025-02,2025
2025-02-24,Febrero,2025,Línea 2,Gratuidad,18547,2025-02,2025
2025-02-25,Febrero,2025,Línea 2,Prepago,210436,2025-02,2025
2025-02-25,Febrero,2025,Línea 2,Gratuidad,19902,2025-02,2025
2025-02-26,Febrero,2025,Línea 2,Prepago,227058,2025-02,2025
2025-02-26,Febrero,2025,Línea 2,Gratuidad,16173,2025-02,2025
2025-02-27,Febrero,2025,Línea 2,Prepago,237772,2025-02,2025
2025-02-27,Febrero,2025,Línea 2,Gratuidad,17588,2025-02,2025
2025-02-28,Febrero,2025,Línea 2,Prepago,219610,2025-02,2025
2025-02-28,Febrero,2025,Línea 2,Gratuidad,17514,2025-02,2025
2025-03-01,Marzo,2025,Línea 2,Prepago,153407,2025-03,2025
2025-03-01,Marzo,2025,Línea 2,Gratuidad,10939,2025-03,2025
2025-03-02,Marzo,2025,Línea 2,Prepago,94904,2025-03,2025
2025-03-02,Marzo,2025,Línea 2,Gratuidad,8071,2025-03,2025
2025-03-03,Marzo,2025,Línea 2,Prepago,240917,2025-03,2025
2025-03-03,Marzo,2025,Línea 2,Gratuidad,18434,2025-03,2025
2025-03-04,Marzo,2025,Línea 2,Prepago,232295,2025-03,2025
2025-03-04,Marzo,2025,Línea 2,Gratuidad,16346,2025-03,2025
2025-03-05,Marzo,2025,Línea 2,Prepago,224652,2025-03,2025
2025-03-05,Marzo,2025,Línea 2,Gratuidad,16116,2025-03,2025
2025-03-06,Marzo,2025,Línea 2,Prepago,231064,2025-03,2025
2025-03-06,Marzo,2025,Línea 2,Gratuidad,18001,2025-03,2025
2025-03-07,Marzo,2025,Línea 2,Prepago,219736,2025-03,2025
2025-03-07,Marzo,2025,Línea 2,Gratuidad,16237,2025-03,2025
2025-03-08,Marzo,2025,Línea 2,Prepago,140229,2025-03,2025
2025-03-08,Marzo,2025,Línea 2,Gratuidad,11632,2025-03,2025
2025-03-09,Marzo,2025,Línea 2,Prepago,107680,2025-03,2025
2025-03-09,Marzo,2025,Línea 2,Gratuidad,8177,2025-03,2025
2025-03-10,Marzo,2025,Línea 2,Prepago,223805,2025-03,2025
2025-03-10,Marzo,2025,Línea 2,Gratuidad,16826,2025-03,2025
2025-03-11,Marzo,2025,Línea 2,Prepago,222296,2025-03,2025
2025-03-11,Marzo,2025,Línea 2,Gratuidad,17327,2025-03,2025
2025-03-12,Marzo,2025,Línea 2,Prepago,215593,2025-03,2025
2025-03-12,Marzo,2025,Línea 2,Gratuidad,19114,2025-03,2025
2025-03-13,Marzo,2025,Línea 2,Prepago,214819,2025-03,2025
2025-03-13,Marzo,2025,Línea 2,Gratuidad,17249,2025-03,2025
2025-03-14,Marzo,2025,Línea 2,Prepago,214027,2025-03,2025
2025-03-14,Marzo,2025,Línea 2,Gratuidad,17749,2025-03,2025
2025-03-15,Marzo,2025,Línea 2,Prepago,145555,2025-03,2025
2025-03-15,Marzo,2025,Línea 2,Gratuidad,11039,2025-03,2025
2025-03-16,Marzo,2025,Línea 2,Prepago,100870,2025-03,2025
2025-03-16,Marzo,2025,Línea 2,Gratuidad,7406,2025-03,2025
2025-03-17,Marzo,2025,Línea 2,Prepago,96029,2025-03,2025
2025-03-17,Marzo,2025,Línea 2,Gratuidad,8762,2025-03,2025
2025-03-18,Marzo,2025,Línea 2,Prepago,216188,2025-03,2025
2025-03-18,Marzo,2025,Línea 2,Gratuidad,17823,2025-03,2025
2025-03-19,Marzo,2025,Línea 2,Prepago,222086,2025-03,2025
2025-03-19,Marzo,2025,Línea 2,Gratuidad,17296,2025-03,2025
2025-03-20,Marzo,2025,Línea 2,Prepago,213461,2025-03,2025
2025-03-20,Marzo,2025,Línea 2,Gratuidad,16165,2025-03,2025
2025-03-21,Marzo,2025,Línea 2,Prepago,211893,2025-03,2025
2025-03-21,Marzo,2025,Línea 2,Gratuidad,16597,2025-03,2025
2025-03-22,Marzo,2025,Línea 2,Prepago,139375,2025-03,2025
2025-03-22,Marzo,2025,Línea 2,Gratuidad,10630,2025-03,2025
2025-03-23,Marzo,2025,Línea 2,Prepago,99358,2025-03,2025
2025-03-23,Marzo,2025,Línea 2,Gratuidad,7828,2025-03,2025
2025-03-24,Marzo,2025,Línea 2,Prepago,215919,2025-03,2025
2025-03-24,Marzo,2025,Línea 2,Gratuidad,16552,2025-03,2025
2025-03-25,Marzo,2025,Línea 2,Prepago,217417,2025-03,2025
2025-03-25,Marzo,2025,Línea 2,Gratuidad,15413,2025-03,2025
2025-03-26,Marzo,2025,Línea 2,Prepago,219893,2025-03,2025
2025-03-26,Marzo,2025,Línea 2,Gratuidad,15982,2025-03,2025
2025-03-27,Marzo,2025,Línea 2,Prepago,214246,2025-03,2025
2025-03-27,Marzo,2025,Línea 2,Gratuidad,17957,2025-03,2025
2025-03-28,Marzo,2025,Línea 2,Prepago,220889,2025-03,2025
2025-03-28,Marzo,2025,Línea 2,Gratuidad,17077,2025-03,2025
2025-03-29,Marzo,2025,Línea 2,Prepago,145775,2025-03,2025
2025-03-29,Marzo,2025,Línea 2,Gratuidad,11192,2025-03,2025
2025-03-30,Marzo,2025,Línea 2,Prepago,97830,2025-03,2025
2025-03-30,Marzo,2025,Línea 2,Gratuidad,7485,2025-03,2025
2025-03-31,Marzo,2025,Línea 2,Prepago,226261,2025-03,2025
2025-03-31,Marzo,2025,Línea 2,Gratuidad,15424,2025-03,2025
2025-04-01,Abril,2025,Línea 2,Prepago,228507,2025-04,2025
2025-04-01,Abril,2025,Línea 2,Gratuidad,15757,2025-04,2025
2025-04-02,Abril,2025,Línea 2,Prepago,228959,2025-04,2025
2025-04-02,Abril,2025,Línea 2,Gratuidad,15123,2025-04,2025
2025-04-03,Abril,2025,Línea 2,Prepago,221210,2025-04,2025
2025-04-03,Abril,2025,Línea 2,Gratuidad,15331,2025-04,2025
2025-04-04,Abril,2025,Línea 2,Prepago,221916,2025-04,2025
2025-04-04,Abril,2025,Línea 2,Gratuidad,15389,2025-04,2025
2025-04-05,Abril,2025,Línea 2,Prepago,144854,2025-04,2025
2025-04-05,Abril,2025,Línea 2,Gratuidad,10053,2025-04,2025
2025-04-06,Abril,2025,Línea 2,Prepago,93418,2025-04,2025
2025-04-06,Abril,2025,Línea 2,Gratuidad,7118,2025-04,2025
2025-04-07,Abril,2025,Línea 2,Prepago,217776,2025-04,2025
2025-04-07,Abril,2025,Línea 2,Gratuidad,15664,2025-04,2025
2025-04-08,Abril,2025,Línea 2,Prepago,214868,2025-04,2025
2025-04-08,Abril,2025,Línea 2,Gratuidad,15783,2025-04,2025
2025-04-09,Abril,2025,Línea 2,Prepago,224042,2025-04,2025
2025-04-09,Abril,2025,Línea 2,Gratuidad,15787,2025-04,2025
2025-04-10,Abril,2025,Línea 2,Prepago,213278,2025-04,2025
2025-04-10,Abril,2025,Línea 2,Gratuidad,16165,2025-04,2025
2025-04-11,Abril,2025,Línea 2,Prepago,223892,2025-04,2025
2025-04-11,Abril,2025,Línea 2,Gratuidad,16733,2025-04,2025
2025-04-12,Abril,2025,Línea 2,Prepago,143914,2025-04,2025
2025-04-12,Abril,2025,Línea 2,Gratuidad,10169,2025-04,2025
2025-04-13,Abril,2025,Línea 2,Prepago,91516,2025-04,2025
2025-04-13,Abril,2025,Línea 2,Gratuidad,8102,2025-04,2025
2025-04-14,Abril,2025,Línea 2,Prepago,184430,2025-04,2025
2025-04-14,Abril,2025,Línea 2,Gratuidad,13093,2025-04,2025
2025-04-15,Abril,2025,Línea 2,Prepago,182559,2025-04,2025
2025-04-15,Abril,2025,Línea 2,Gratuidad,14338,2025-04,2025
2025-04-16,Abril,2025,Línea 2,Prepago,186809,2025-04,2025
2025-04-16,Abril,2025,Línea 2,Gratuidad,14316,2025-04,2025
2025-04-17,Abril,2025,Línea 2,Prepago,107354,2025-04,2025
2025-04-17,Abril,2025,Línea 2,Gratuidad,8586,2025-04,2025
2025-04-18,Abril,2025,Línea 2,Prepago,82212,2025-04,2025
2025-04-18,Abril,2025,Línea 2,Gratuidad,6537,2025-04,2025
2025-04-19,Abril,2025,Línea 2,Prepago,81664,2025-04,2025
2025-04-19,Abril,2025,Línea 2,Gratuidad,7571,2025-04,2025
2025-04-20,Abril,2025,Línea 2,Prepago,77594,2025-04,2025
2025-04-20,Abril,2025,Línea 2,Gratuidad,6210,2025-04,2025
2025-04-21,Abril,2025,Línea 2,Prepago,180622,2025-04,2025
2025-04-21,Abril,2025,Línea 2,Gratuidad,13442,2025-04,2025
2025-04-22,Abril,2025,Línea 2,Prepago,188636,2025-04,2025
2025-04-22,Abril,2025,Línea 2,Gratuidad,13804,2025-04,2025
2025-04-23,Abril,2025,Línea 2,Prepago,193903,2025-04,2025
2025-04-23,Abril,2025,Línea 2,Gratuidad,14822,2025-04,2025
2025-04-24,Abril,2025,Línea 2,Prepago,192007,2025-04,2025
2025-04-24,Abril,2025,Línea 2,Gratuidad,15164,2025-04,2025
2025-04-25,Abril,2025,Línea 2,Prepago,186930,2025-04,2025
2025-04-25,Abril,2025,Línea 2,Gratuidad,12005,2025-04,2025
2025-04-26,Abril,2025,Línea 2,Prepago,138307,2025-04,2025
2025-04-26,Abril,2025,Línea 2,Gratuidad,10685,2025-04,2025
2025-04-27,Abril,2025,Línea 2,Prepago,93594,2025-04,2025
2025-04-27,Abril,2025,Línea 2,Gratuidad,6108,2025-04,2025
2025-04-28,Abril,2025,Línea 2,Prepago,215651,2025-04,2025
2025-04-28,Abril,2025,Línea 2,Gratuidad,13649,2025-04,2025
2025-04-29,Abril,2025,Línea 2,Prepago,217146,2025-04,2025
2025-04-29,Abril,2025,Línea 2,Gratuidad,14826,2025-04,2025
2025-04-30,Abril,2025,Línea 2,Prepago,227612,2025-04,2025
2025-04-30,Abril,2025,Línea 2,Gratuidad,14829,2025-04,2025
